country,year,positive,examined,long,lat,utm_x,utm_y
Botswana,2015,0,49,26.3113112,-24.0325508,429.96921763046794,7341.9982156481055
Botswana,2015,0,46,20.6831788,-26.8668794,-128.21845208576542,7012.617147319948
Botswana,2015,0,46,25.69039667,-25.20587333,368.06198967880835,7211.613651396429
Botswana,2015,0,48,27.87153167,-21.978385,589.9763764131083,7569.309391836654
Botswana,2015,0,54,25.94184667,-24.666965,392.93203991106714,7271.515271359129
Botswana,2015,0,44,23.6407748,-20.1446924,148.7751305952145,7768.958165554577
Botswana,2015,0,51,26.4981503,-20.5808072,447.6986174170511,7724.163922928764
Botswana,2015,0,52,22.3193484,-19.0158991,6.97378956069093,7890.84132809007
Botswana,2015,0,22,21.64376333,-21.703485,-54.6081068102197,7590.386584896205
Botswana,2015,0,52,25.44311667,-25.47561167,343.4933060862823,7181.472004431465
Botswana,2015,0,49,21.6027974,-23.413266,-51.97768332241639,7400.379277210524
Botswana,2015,0,50,27.81451667,-21.98705833,584.0847771472841,7568.381724700009
Botswana,2015,0,50,26.1315544,-24.3893174,411.9349891563367,7302.393897916699
Botswana,2015,0,38,27.6114921,-20.9140415,563.5888679363218,7687.244444515036
Botswana,2015,0,50,22.207054,-22.8554457,7.886591815396795,7464.4747352655195
Botswana,2015,6,48,24.5066171,-18.1488558,236.1987394965564,7991.556760744883
Botswana,2015,0,48,20.8773525,-22.1461799,-132.20215447135746,7538.225812480369
Botswana,2015,0,35,22.7966741,-23.6750115,71.14604000361228,7375.429096065121
Botswana,2015,0,47,20.6134111,-22.0807872,-159.84191307272087,7544.367113613945
Botswana,2015,0,50,25.1569067,-17.798005,304.6367872321854,8031.201472336455
Botswana,2015,0,52,21.8493909,-18.3795757,-44.67032049864379,7960.084741709402
Botswana,2015,0,43,24.7323061,-21.3661946,264.8554895671117,7635.627766774245
Botswana,2015,0,47,25.852665,-24.87810167,384.1037517685112,7248.061560170285
Botswana,2015,0,43,24.7238972,-24.6031428,269.5469990971629,7277.08812063488
Botswana,2015,0,34,22.4190608,-22.1198647,27.186628135158738,7546.777954241533
Botswana,2015,0,35,22.4163022,-21.0133072,23.283634185947303,7669.531680909369
Botswana,2015,0,32,21.7963186,-23.9984424,-29.76902766879904,7336.143356112084
Botswana,2015,0,43,25.94402167,-24.60814167,393.1020784292391,7278.030801005226
