country,n,mu,sigma^2,phi,tau^2
Benin,358,0.08804094222504294,3.385865273680782,18.198889622608274,1.8716660347223135
Botswana,93,0.013105733712216894,0.3069488347357532,28.20566835469182,1.8266268583575396
Burkina Faso,101,0.11932296968034146,3.6212227393148,8.82565978415529,3.0779489979077307e-14
Chad,241,0.10795338043993573,3.663231227199256,79.81968222667983,0.8567575792083214
Congo (Kinshasa),387,0.015117725558601334,4.184876892815391,78.59960584831488,2.5796287537376346
Cote D'ivoire,476,0.005983039560297934,5.187603290849063,60.096454745464335,1.1639120550285327
Gabon,199,0.01109692660286448,1.4835161644784716,89.42782570125489,0.6315904626930016
Ghana,166,0.07858806449899018,4.036057982697035,110.62925253131542,1.6945584679422785
Guinea,64,0.053345302969012555,10.427562919222774,69.85775324477967,1.8254553005426883
Kenya,104,0.0546048610088663,11.5193817659681,31.711611596893356,4.4889321395308963e-4
Liberia,1238,0.010236255696761384,6.750711004629179,90.5412585582385,0.814334777998685
Madagascar,259,0.14038488074096292,6.924194093605589,135.90398587789926,1.097367068480532
Malawi,858,0.04592133805808275,1.3314633081652851,76.74951747482415,1.6154310813389712
Mali,164,0.12794716334126094,4.900292899926794,91.91130308537443,1.647395225487164
Niger,825,0.02104638557416431,1.8913229028235718,138.99020085935896,5.137505125281899
Nigeria,1838,0.034793667873783046,3.736432676846156,87.86476508247115,1.8803292980577913
Rwanda,158,0.00699393272849466,0.005205798557368414,5.178676393880022,7.949824672361134e-4
Senegal,218,0.021970393400254685,5.628660747065403,86.69238494303121,3.927019246662409
South Sudan,225,0.0036102836779774105,1.379721653623917,44.595758816069356,0.46271847607521166
Swaziland,251,0.056438856619607826,1.6731111242588532,41.35538518286818,0.5200519249175679
Tanzania (Mainland),587,0.03252777899367591,10.075107758652347,146.44119310549556,0.5709931335789418
The Gambia,195,0.10806932689115742,0.8043489814560356,0.07442813699230245,2.7951200624123434e-12
Togo,931,0.01748291503630702,2.416183110793944,31.369825413978347,0.6149133822011602
Zambia,92,0.20652401057348424,1.0944344846470053,19.365381338230502,0.8424620236506356
